file_id,hour,minute,second
17-59-12,17,59,12
17-59-13-1,17,59,13
17-59-13-2,17,59,13
17-59-18,17,59,18
17-59-19-1,17,59,19
17-59-19-2,17,59,19
17-59-19-3,17,59,19
17-59-23,17,59,23
17-59-24-1,17,59,24
17-59-24-2,17,59,24
17-59-27,17,59,27
17-59-28,17,59,28
17-59-29,17,59,29
17-59-30,17,59,30
17-59-33-1,17,59,33
17-59-33-2,17,59,33
17-59-39,17,59,39
17-59-40-1,17,59,40
17-59-40-2,17,59,40
17-59-41-1,17,59,41
17-59-41-2,17,59,41
17-59-43-1,17,59,43
17-59-43-2,17,59,43
17-59-47-1,17,59,47
17-59-47-2,17,59,47
17-59-52,17,59,52
17-59-55,17,59,55
17-59-57,17,59,57
17-59-59,17,59,59
18-00-01-1,18,00,01
18-00-01-2,18,00,01
18-00-01-3,18,00,01
18-00-07-1,18,00,07
18-00-07-2,18,00,07
18-00-10-1,18,00,10
18-00-10-2,18,00,10
18-00-13,18,00,13
18-00-15-1,18,00,15
18-00-15-2,18,00,15
18-00-18-1,18,00,18
18-00-18-2,18,00,18
18-00-24,18,00,24
18-00-56,18,00,56
18-01-00,18,01,00
18-01-07,18,01,07
18-01-19,18,01,19
18-01-28,18,01,28
18-01-32,18,01,32
18-01-34-1,18,01,34
18-01-34-2,18,01,34
18-01-37,18,01,37
18-01-40-1,18,01,40
18-01-40-2,18,01,40
18-01-47-1,18,01,47
18-01-47-2,18,01,47
18-01-48,18,01,48
18-01-53,18,01,53
18-01-56-1,18,01,56
18-01-56-2,18,01,56
18-01-57-1,18,01,57
18-01-57-2,18,01,57
18-02-00-1,18,02,00
18-02-00-2,18,02,00
18-02-05-1,18,02,05
18-02-05-2,18,02,05
18-02-08,18,02,08
18-02-09-1,18,02,09
18-02-09-2,18,02,09
18-02-14,18,02,14
18-02-16,18,02,16
18-02-19-1,18,02,19
18-02-19-2,18,02,19
18-02-21,18,02,21
18-02-23,18,02,23
18-02-27,18,02,27
18-02-28-1,18,02,28
18-02-28-2,18,02,28
18-02-30,18,02,30
18-02-38,18,02,38
18-02-43-1,18,02,43
18-02-43-2,18,02,43
18-02-53-1,18,02,53
18-02-53-2,18,02,53
18-02-57,18,02,57
18-02-58-1,18,02,58
18-02-58-2,18,02,58
18-03-00-1,18,03,00
18-03-00-2,18,03,00
18-03-02-1,18,03,02
18-03-02-2,18,03,02
18-03-03,18,03,03
18-03-05-1,18,03,05
18-03-05-2,18,03,05
18-03-08,18,03,08
18-03-11-1,18,03,11
18-03-11-2,18,03,11
18-03-15,18,03,15
18-03-20-1,18,03,20
18-03-20-2,18,03,20
18-03-24,18,03,24
18-03-27,18,03,27
18-03-31,18,03,31
18-03-35,18,03,35
18-03-40-1,18,03,40
18-03-40-2,18,03,40
18-03-43,18,03,43
18-03-46,18,03,46
18-03-48,18,03,48
18-03-51,18,03,51
18-03-53-1,18,03,53
18-03-53-2,18,03,53
18-04-08,18,04,08
18-04-20,18,04,20
18-04-22,18,04,22
18-04-27,18,04,27
18-04-33-1,18,04,33
18-04-33-2,18,04,33
18-04-36,18,04,36
18-04-42,18,04,42
18-04-46,18,04,46
18-04-50-1,18,04,50
18-04-50-2,18,04,50
18-04-52-1,18,04,52
18-04-52-2,18,04,52
18-04-54-1,18,04,54
18-04-54-2,18,04,54
18-04-56-1,18,04,56
18-04-56-2,18,04,56
18-04-59,18,04,59
18-05-00,18,05,00
18-05-04,18,05,04
18-05-10,18,05,10
18-05-13-1,18,05,13
18-05-13-2,18,05,13
18-05-14,18,05,14
18-05-22-1,18,05,22
18-05-22-2,18,05,22
18-05-23,18,05,23
18-05-31-1,18,05,31
18-05-31-2,18,05,31
18-05-36-1,18,05,36
18-05-36-2,18,05,36
18-05-53,18,05,53
18-05-54,18,05,54
18-06-00-1,18,06,00
18-06-00-2,18,06,00
18-06-01-1,18,06,01
18-06-01-2,18,06,01
18-06-03-1,18,06,03
18-06-03-2,18,06,03
18-06-06-1,18,06,06
18-06-06-2,18,06,06
18-06-09-1,18,06,09
18-06-09-2,18,06,09
18-06-14-1,18,06,14
18-06-14-2,18,06,14
18-06-15,18,06,15
18-06-17,18,06,17
18-06-19-1,18,06,19
18-06-19-2,18,06,19
18-06-20-1,18,06,20
18-06-20-2,18,06,20
18-06-30-1,18,06,30
18-06-30-2,18,06,30
18-06-31,18,06,31
18-06-35,18,06,35
18-06-38,18,06,38
18-06-41,18,06,41
18-06-45-1,18,06,45
18-06-45-2,18,06,45
18-06-48-1,18,06,48
18-06-48-2,18,06,48
18-06-54,18,06,54
18-06-57-1,18,06,57
18-06-57-2,18,06,57
18-06-58-1,18,06,58
18-06-58-2,18,06,58
18-06-59,18,06,59
18-07-02-1,18,07,02
18-07-02-2,18,07,02
18-07-06-1,18,07,06
18-07-06-2,18,07,06
18-07-06-3,18,07,06
18-07-06-4,18,07,06
18-07-07,18,07,07
18-07-09-1,18,07,09
18-07-09-2,18,07,09
18-07-11,18,07,11
18-07-12,18,07,12
18-07-13,18,07,13
18-07-15-1,18,07,15
18-07-15-2,18,07,15
18-07-17,18,07,17
18-07-18,18,07,18
18-07-34,18,07,34
18-07-35,18,07,35
18-07-38,18,07,38
18-07-44,18,07,44
18-07-48,18,07,48
18-07-52-1,18,07,52
18-07-52-2,18,07,52
18-08-08,18,08,08
18-08-12,18,08,12
18-08-18,18,08,18
18-08-23-1,18,08,23
18-08-23-2,18,08,23
18-08-26,18,08,26
18-08-31-1,18,08,31
18-08-31-2,18,08,31
18-08-45,18,08,45
18-08-50-1,18,08,50
18-08-50-2,18,08,50
18-08-51,18,08,51
18-08-52-1,18,08,52
18-08-52-2,18,08,52
18-08-53,18,08,53
18-08-55-1,18,08,55
18-08-55-2,18,08,55
18-08-55-3,18,08,55
18-08-59-1,18,08,59
18-08-59-2,18,08,59
18-09-02-1,18,09,02
18-09-02-2,18,09,02
18-09-04,18,09,04
18-09-05-1,18,09,05
18-09-05-2,18,09,05
18-09-09-1,18,09,09
18-09-09-2,18,09,09
18-09-11-1,18,09,11
18-09-11-2,18,09,11
18-09-13,18,09,13
18-09-16-1,18,09,16
18-09-16-2,18,09,16
18-09-18-1,18,09,18
18-09-18-2,18,09,18
18-09-23-1,18,09,23
18-09-23-2,18,09,23
18-09-25,18,09,25
18-09-29,18,09,29
18-09-31,18,09,31
18-09-39,18,09,39
18-09-43,18,09,43
18-09-45,18,09,45
18-09-48,18,09,48
18-09-50-1,18,09,50
18-09-50-2,18,09,50
18-09-53,18,09,53
18-09-58-1,18,09,58
18-09-58-2,18,09,58
18-09-59,18,09,59
18-10-03,18,10,03
18-10-08,18,10,08
18-10-34-1,18,10,34
18-10-34-2,18,10,34
18-10-34-3,18,10,34
18-10-37,18,10,37
18-10-40,18,10,40
18-10-44-1,18,10,44
18-10-44-2,18,10,44
18-10-49-1,18,10,49
18-10-49-2,18,10,49
18-10-51,18,10,51
18-10-55-1,18,10,55
18-10-55-2,18,10,55
18-10-57,18,10,57
18-11-00-1,18,11,00
18-11-00-2,18,11,00
18-11-06-1,18,11,06
18-11-06-2,18,11,06
18-11-07-1,18,11,07
18-11-07-2,18,11,07
18-11-08,18,11,08
18-11-10-1,18,11,10
18-11-10-2,18,11,10
18-11-14-1,18,11,14
18-11-14-2,18,11,14
18-11-16-1,18,11,16
18-11-16-2,18,11,16
18-11-20,18,11,20
18-11-31,18,11,31
18-11-41-1,18,11,41
18-11-41-2,18,11,41
18-11-47,18,11,47
18-11-49,18,11,49
18-11-50-1,18,11,50
18-11-50-2,18,11,50
18-11-53,18,11,53
18-11-56-1,18,11,56
18-11-56-2,18,11,56
18-11-58,18,11,58
18-11-59,18,11,59
18-12-01-1,18,12,01
18-12-01-2,18,12,01
18-12-05-1,18,12,05
18-12-05-2,18,12,05
18-12-09,18,12,09
18-12-10,18,12,10
18-12-11-1,18,12,11
18-12-11-2,18,12,11
18-12-16,18,12,16
18-12-19,18,12,19
18-42-31,18,42,31
18-42-33-1,18,42,33
18-42-33-2,18,42,33
18-42-33-3,18,42,33
18-42-34,18,42,34
18-42-38-1,18,42,38
18-42-38-2,18,42,38
18-42-39,18,42,39
18-42-41-1,18,42,41
18-42-41-2,18,42,41
18-42-41-3,18,42,41
18-42-45,18,42,45
18-42-46,18,42,46
18-42-48-1,18,42,48
18-42-48-2,18,42,48
18-42-50-1,18,42,50
18-42-50-2,18,42,50
18-42-51-1,18,42,51
18-42-51-2,18,42,51
18-42-53,18,42,53
18-42-54-1,18,42,54
18-42-54-2,18,42,54
18-42-54-3,18,42,54
18-42-57-1,18,42,57
18-42-57-2,18,42,57
18-42-57-3,18,42,57
18-42-59,18,42,59
18-43-02-1,18,43,02
18-43-02-2,18,43,02
18-43-04-1,18,43,04
18-43-04-2,18,43,04
18-43-06,18,43,06
18-43-24,18,43,24
18-43-25,18,43,25
18-43-28-1,18,43,28
18-43-28-2,18,43,28
18-43-30,18,43,30
18-43-33,18,43,33
18-43-34-1,18,43,34
18-43-34-2,18,43,34
18-43-36-1,18,43,36
18-43-36-2,18,43,36
18-43-38,18,43,38
18-43-50,18,43,50
18-43-52-1,18,43,52
18-43-52-2,18,43,52
18-43-55,18,43,55
18-44-01-1,18,44,01
18-44-01-2,18,44,01
18-44-03,18,44,03
18-44-05,18,44,05
18-44-07-1,18,44,07
18-44-07-2,18,44,07
18-44-12,18,44,12
18-44-15-1,18,44,15
18-44-15-2,18,44,15
18-44-35-1,18,44,35
18-44-35-2,18,44,35
18-44-37,18,44,37
18-44-42,18,44,42
18-44-43-1,18,44,43
18-44-43-2,18,44,43
18-44-48,18,44,48
18-44-52-1,18,44,52
18-44-52-2,18,44,52
18-44-54,18,44,54
18-44-56-1,18,44,56
18-44-56-2,18,44,56
18-44-56-3,18,44,56
18-44-57-1,18,44,57
18-44-57-2,18,44,57
18-44-58,18,44,58
18-45-01-1,18,45,01
18-45-01-2,18,45,01
18-45-03,18,45,03
18-45-04-1,18,45,04
18-45-04-2,18,45,04
18-45-08-1,18,45,08
18-45-08-2,18,45,08
18-45-11,18,45,11
18-45-16-1,18,45,16
18-45-16-2,18,45,16
18-45-17,18,45,17
18-45-19,18,45,19
18-45-24-1,18,45,24
18-45-24-2,18,45,24
18-45-24-3,18,45,24
18-45-27,18,45,27
18-45-29,18,45,29
18-45-31-1,18,45,31
18-45-31-2,18,45,31
18-45-35,18,45,35
18-45-37-1,18,45,37
18-45-37-2,18,45,37
18-45-38,18,45,38
18-45-40,18,45,40
18-45-49,18,45,49
18-46-01,18,46,01
18-46-07,18,46,07
18-46-10,18,46,10
18-46-22,18,46,22
18-46-24-1,18,46,24
18-46-24-2,18,46,24
18-46-26,18,46,26
18-46-27-1,18,46,27
18-46-27-2,18,46,27
18-46-28,18,46,28
18-46-29-1,18,46,29
18-46-29-2,18,46,29
18-46-32,18,46,32
18-46-33,18,46,33
18-46-36,18,46,36
18-46-44,18,46,44
18-46-46-1,18,46,46
18-46-46-2,18,46,46
18-46-49,18,46,49
18-46-51,18,46,51
18-46-52-1,18,46,52
18-46-52-2,18,46,52
18-46-52-3,18,46,52
18-46-55-1,18,46,55
18-46-55-2,18,46,55
18-46-58,18,46,58
18-47-04,18,47,04
18-47-06,18,47,06
18-47-11,18,47,11
18-47-16-1,18,47,16
18-47-16-2,18,47,16
18-47-18-1,18,47,18
18-47-18-2,18,47,18
18-47-24,18,47,24
18-47-27,18,47,27
18-47-29-1,18,47,29
18-47-29-2,18,47,29
18-47-31,18,47,31
18-47-32,18,47,32
18-47-37-1,18,47,37
18-47-37-2,18,47,37
18-47-39-1,18,47,39
18-47-39-2,18,47,39
18-47-42-1,18,47,42
18-47-42-2,18,47,42
18-47-44,18,47,44
18-47-45,18,47,45
18-47-47-1,18,47,47
18-47-47-2,18,47,47
18-47-49,18,47,49
18-47-59,18,47,59
18-48-00,18,48,00
18-48-07,18,48,07
18-48-09-1,18,48,09
18-48-09-2,18,48,09
18-48-13,18,48,13
18-48-14,18,48,14
18-48-19,18,48,19
18-48-23,18,48,23
18-48-26,18,48,26
18-48-29-1,18,48,29
18-48-29-2,18,48,29
18-48-30,18,48,30
18-48-35-1,18,48,35
18-48-35-2,18,48,35
18-48-36,18,48,36
18-48-40-1,18,48,40
18-48-40-2,18,48,40
18-48-42,18,48,42
18-48-44-1,18,48,44
18-48-44-2,18,48,44
18-48-46-1,18,48,46
18-48-46-2,18,48,46
18-48-55,18,48,55
18-48-58,18,48,58
18-49-01-1,18,49,01
18-49-01-2,18,49,01
18-49-04-1,18,49,04
